ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,product name
2020-01-08 00:00:00+00:00,35,1,182427,17.8,17.86,17.8,17.8,9,GDKF1,Class IV Milk Future
2020-01-10 00:00:00+00:00,35,1,1154,17.8,17.8,17.61,17.61,15,GDKH1,Class IV Milk Future
2020-01-10 00:00:00+00:00,35,1,182427,17.8,17.81,17.7,17.7,13,GDKF1,Class IV Milk Future
2020-01-10 00:00:00+00:00,35,1,2336,17.8,17.8,17.65,17.65,20,GDKG1,Class IV Milk Future
2020-01-13 00:00:00+00:00,35,1,2336,17.6,17.6,17.6,17.6,10,GDKG1,Class IV Milk Future
2020-01-13 00:00:00+00:00,35,1,1154,17.6,17.6,17.55,17.55,12,GDKH1,Class IV Milk Future
2020-01-13 00:00:00+00:00,35,1,182427,17.78,17.78,17.65,17.65,27,GDKF1,Class IV Milk Future
2020-01-14 00:00:00+00:00,35,1,2336,17.63,17.63,17.63,17.63,4,GDKG1,Class IV Milk Future
2020-01-14 00:00:00+00:00,35,1,182427,17.61,17.61,17.61,17.61,5,GDKF1,Class IV Milk Future
2020-01-14 00:00:00+00:00,35,1,1154,17.63,17.63,17.63,17.63,1,GDKH1,Class IV Milk Future
2020-01-15 00:00:00+00:00,35,1,182427,17.75,17.8,17.75,17.8,12,GDKF1,Class IV Milk Future
2020-01-15 00:00:00+00:00,35,1,2336,17.73,17.73,17.67,17.67,17,GDKG1,Class IV Milk Future
2020-01-15 00:00:00+00:00,35,1,1154,17.63,17.63,17.63,17.63,4,GDKH1,Class IV Milk Future
2020-01-16 00:00:00+00:00,35,1,2336,17.65,17.65,17.65,17.65,1,GDKG1,Class IV Milk Future
2020-01-16 00:00:00+00:00,35,1,1154,17.73,17.73,17.7,17.7,16,GDKH1,Class IV Milk Future
2020-01-22 00:00:00+00:00,35,1,1154,17.8,17.8,17.8,17.8,2,GDKH1,Class IV Milk Future
2020-01-22 00:00:00+00:00,35,1,2336,17.8,17.8,17.8,17.8,2,GDKG1,Class IV Milk Future
2020-01-22 00:00:00+00:00,35,1,182427,17.9,17.9,17.9,17.9,1,GDKF1,Class IV Milk Future
2020-01-24 00:00:00+00:00,35,1,2336,17.75,17.8,17.7,17.8,10,GDKG1,Class IV Milk Future
2020-01-28 00:00:00+00:00,35,1,182427,17.6,17.6,17.6,17.6,3,GDKF1,Class IV Milk Future
2020-02-05 00:00:00+00:00,35,1,2336,17.45,17.45,17.45,17.45,1,GDKG1,Class IV Milk Future
2020-02-05 00:00:00+00:00,35,1,1154,17.45,17.45,17.45,17.45,1,GDKH1,Class IV Milk Future
2020-02-05 00:00:00+00:00,35,1,182427,17.41,17.41,17.41,17.41,1,GDKF1,Class IV Milk Future
2020-02-06 00:00:00+00:00,35,1,49263,17.7,17.7,17.7,17.7,2,GDKM1,Class IV Milk Future
2020-02-06 00:00:00+00:00,35,1,1154,17.53,17.53,17.53,17.53,2,GDKH1,Class IV Milk Future
2020-02-10 00:00:00+00:00,35,1,2336,17.53,17.53,17.53,17.53,2,GDKG1,Class IV Milk Future
2020-02-18 00:00:00+00:00,35,1,182427,17.5,17.5,17.5,17.5,2,GDKF1,Class IV Milk Future
2020-02-18 00:00:00+00:00,35,1,1154,17.5,17.5,17.5,17.5,2,GDKH1,Class IV Milk Future
2020-02-18 00:00:00+00:00,35,1,2336,17.5,17.5,17.5,17.5,3,GDKG1,Class IV Milk Future
2020-02-18 00:00:00+00:00,35,1,28023,17.5,17.5,17.5,17.5,1,GDKJ1,Class IV Milk Future
2020-02-27 00:00:00+00:00,35,1,2336,16.74,16.75,16.74,16.75,2,GDKG1,Class IV Milk Future
2020-02-27 00:00:00+00:00,35,1,182427,16.68,16.68,16.64,16.64,11,GDKF1,Class IV Milk Future
2020-03-09 00:00:00+00:00,35,1,182427,16.5,16.5,16.5,16.5,10,GDKF1,Class IV Milk Future
2020-03-24 00:00:00+00:00,35,1,182427,15.2,15.2,15.2,15.2,5,GDKF1,Class IV Milk Future
2020-03-25 00:00:00+00:00,35,1,2336,15.35,15.35,15.35,15.35,1,GDKG1,Class IV Milk Future
2020-03-26 00:00:00+00:00,35,1,2336,15.2,15.2,15.0,15.0,6,GDKG1,Class IV Milk Future
2020-03-26 00:00:00+00:00,35,1,182427,15.0,15.0,15.0,15.0,2,GDKF1,Class IV Milk Future
2020-03-26 00:00:00+00:00,35,1,1154,15.45,15.45,15.2,15.2,5,GDKH1,Class IV Milk Future
2020-03-27 00:00:00+00:00,35,1,2336,14.6,14.6,14.6,14.6,10,GDKG1,Class IV Milk Future
2020-03-27 00:00:00+00:00,35,1,1154,15.0,15.0,15.0,15.0,2,GDKH1,Class IV Milk Future
2020-03-30 00:00:00+00:00,35,1,493,14.4,14.4,14.4,14.4,1,GDKK1,Class IV Milk Future
2020-03-30 00:00:00+00:00,35,1,28023,14.15,14.15,14.15,14.15,3,GDKJ1,Class IV Milk Future
2020-03-30 00:00:00+00:00,35,1,182427,13.47,13.47,13.47,13.47,1,GDKF1,Class IV Milk Future
2020-03-30 00:00:00+00:00,35,1,1154,13.78,13.78,13.78,13.78,5,GDKH1,Class IV Milk Future
2020-03-30 00:00:00+00:00,35,1,2336,13.74,13.74,13.74,13.74,1,GDKG1,Class IV Milk Future
2020-04-02 00:00:00+00:00,35,1,1154,14.01,14.01,14.01,14.01,2,GDKH1,Class IV Milk Future
2020-04-02 00:00:00+00:00,35,1,2336,13.74,13.74,13.74,13.74,1,GDKG1,Class IV Milk Future
2020-04-03 00:00:00+00:00,35,1,182427,13.37,13.37,13.37,13.37,1,GDKF1,Class IV Milk Future
2020-04-06 00:00:00+00:00,35,1,182427,13.22,13.5,13.22,13.5,14,GDKF1,Class IV Milk Future
2020-04-06 00:00:00+00:00,35,1,1154,13.75,13.75,13.75,13.75,6,GDKH1,Class IV Milk Future
2020-04-06 00:00:00+00:00,35,1,2336,13.5,13.5,13.5,13.5,1,GDKG1,Class IV Milk Future
2020-04-07 00:00:00+00:00,35,1,182427,14.29,14.29,14.29,14.29,3,GDKF1,Class IV Milk Future
2020-04-08 00:00:00+00:00,35,1,182427,14.27,14.27,14.27,14.27,1,GDKF1,Class IV Milk Future
2020-04-13 00:00:00+00:00,35,1,1154,14.12,14.12,14.12,14.12,5,GDKH1,Class IV Milk Future
2020-04-13 00:00:00+00:00,35,1,182427,13.64,13.64,13.64,13.64,5,GDKF1,Class IV Milk Future
