ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,product name
2019-08-12 00:00:00+00:00,35,1,504886,320.0,320.0,320.0,320.0,1,ZMF1,Soybean Meal Future
2019-08-21 00:00:00+00:00,35,1,504886,317.4,317.4,317.4,317.4,2,ZMF1,Soybean Meal Future
2019-08-23 00:00:00+00:00,35,1,504886,316.4,316.4,316.4,316.4,1,ZMF1,Soybean Meal Future
2019-08-30 00:00:00+00:00,35,1,504886,316.6,316.7,316.6,316.7,9,ZMF1,Soybean Meal Future
2019-09-03 00:00:00+00:00,35,1,504886,315.2,315.2,315.2,315.2,1,ZMF1,Soybean Meal Future
2019-09-04 00:00:00+00:00,35,1,504886,315.9,317.5,315.9,317.5,3,ZMF1,Soybean Meal Future
2019-09-05 00:00:00+00:00,35,1,282089,319.9,320.0,317.6,317.6,10,ZMH1,Soybean Meal Future
2019-09-09 00:00:00+00:00,35,1,282089,319.9,320.1,319.9,320.1,5,ZMH1,Soybean Meal Future
2019-09-09 00:00:00+00:00,35,1,156434,322.6,324.8,322.6,324.8,3,ZMN1,Soybean Meal Future
2019-09-09 00:00:00+00:00,35,1,504886,318.1,318.3,318.1,318.3,3,ZMF1,Soybean Meal Future
2019-09-09 00:00:00+00:00,35,1,89700,322.6,324.4,322.6,324.4,3,ZMK1,Soybean Meal Future
2019-09-10 00:00:00+00:00,35,1,89700,321.7,321.7,321.7,321.7,1,ZMK1,Soybean Meal Future
2019-09-12 00:00:00+00:00,35,1,89700,322.9,322.9,322.9,322.9,1,ZMK1,Soybean Meal Future
2019-09-12 00:00:00+00:00,35,1,282089,321.7,321.7,321.7,321.7,1,ZMH1,Soybean Meal Future
2019-09-12 00:00:00+00:00,35,1,504886,320.1,320.1,320.1,320.1,1,ZMF1,Soybean Meal Future
2019-09-13 00:00:00+00:00,35,1,282089,326.7,326.7,322.4,324.8,10,ZMH1,Soybean Meal Future
2019-09-13 00:00:00+00:00,35,1,504886,324.5,325.2,323.2,323.4,25,ZMF1,Soybean Meal Future
2019-09-17 00:00:00+00:00,35,1,504886,317.7,317.7,317.5,317.5,31,ZMF1,Soybean Meal Future
2019-09-18 00:00:00+00:00,35,1,504886,317.4,317.8,317.4,317.8,7,ZMF1,Soybean Meal Future
2019-09-23 00:00:00+00:00,35,1,504886,318.3,318.3,318.0,318.0,3,ZMF1,Soybean Meal Future
2019-09-23 00:00:00+00:00,35,1,282089,319.5,319.5,319.1,319.1,3,ZMH1,Soybean Meal Future
2019-09-24 00:00:00+00:00,35,1,794459,318.5,322.0,318.5,322.0,2,ZMZ1,Soybean Meal Future
2019-09-25 00:00:00+00:00,35,1,794459,318.5,318.5,317.8,317.8,4,ZMZ1,Soybean Meal Future
2019-09-25 00:00:00+00:00,35,1,186868,319.0,319.0,319.0,319.0,2,ZMV1,Soybean Meal Future
2019-09-25 00:00:00+00:00,35,1,282089,317.0,317.0,317.0,317.0,2,ZMH1,Soybean Meal Future
2019-09-26 00:00:00+00:00,35,1,504886,316.1,316.1,316.1,316.1,1,ZMF1,Soybean Meal Future
2019-09-26 00:00:00+00:00,35,1,89700,317.5,317.5,317.4,317.4,3,ZMK1,Soybean Meal Future
2019-09-26 00:00:00+00:00,35,1,282089,316.5,316.5,316.5,316.5,2,ZMH1,Soybean Meal Future
2019-09-27 00:00:00+00:00,35,1,504886,317.1,317.4,317.1,317.4,3,ZMF1,Soybean Meal Future
2019-09-27 00:00:00+00:00,35,1,89700,318.8,318.8,318.8,318.8,1,ZMK1,Soybean Meal Future
2019-09-30 00:00:00+00:00,35,1,504886,319.0,321.1,319.0,321.1,8,ZMF1,Soybean Meal Future
2019-09-30 00:00:00+00:00,35,1,282089,320.7,320.7,320.7,320.7,3,ZMH1,Soybean Meal Future
2019-10-01 00:00:00+00:00,35,1,794459,321.6,322.7,321.6,322.6,11,ZMZ1,Soybean Meal Future
2019-10-01 00:00:00+00:00,35,1,89700,323.1,323.1,323.1,323.1,1,ZMK1,Soybean Meal Future
2019-10-01 00:00:00+00:00,35,1,504886,322.3,322.3,322.3,322.3,1,ZMF1,Soybean Meal Future
2019-10-02 00:00:00+00:00,35,1,89700,320.9,320.9,320.9,320.9,1,ZMK1,Soybean Meal Future
2019-10-02 00:00:00+00:00,35,1,504886,323.2,323.2,323.2,323.2,1,ZMF1,Soybean Meal Future
2019-10-02 00:00:00+00:00,35,1,282089,321.1,321.4,321.1,321.4,5,ZMH1,Soybean Meal Future
2019-10-03 00:00:00+00:00,35,1,504886,321.8,321.8,321.5,321.5,2,ZMF1,Soybean Meal Future
2019-10-03 00:00:00+00:00,35,1,794459,321.9,321.9,317.7,317.7,2,ZMZ1,Soybean Meal Future
2019-10-07 00:00:00+00:00,35,1,504886,319.8,319.8,319.6,319.6,3,ZMF1,Soybean Meal Future
2019-10-07 00:00:00+00:00,35,1,89700,318.5,318.5,318.4,318.4,4,ZMK1,Soybean Meal Future
2019-10-07 00:00:00+00:00,35,1,156434,319.0,319.0,319.0,319.0,2,ZMN1,Soybean Meal Future
2019-10-07 00:00:00+00:00,35,1,282089,318.4,318.4,318.3,318.3,2,ZMH1,Soybean Meal Future
2019-10-08 00:00:00+00:00,35,1,89700,322.5,322.9,322.5,322.9,2,ZMK1,Soybean Meal Future
2019-10-08 00:00:00+00:00,35,1,504886,324.4,325.2,323.9,323.9,82,ZMF1,Soybean Meal Future
2019-10-08 00:00:00+00:00,35,1,282089,323.1,323.1,323.0,323.0,4,ZMH1,Soybean Meal Future
2019-10-10 00:00:00+00:00,35,1,89700,327.5,327.5,327.5,327.5,1,ZMK1,Soybean Meal Future
2019-10-10 00:00:00+00:00,35,1,504886,325.7,326.1,325.7,326.1,2,ZMF1,Soybean Meal Future
2019-10-11 00:00:00+00:00,35,1,282089,322.5,322.5,320.4,320.4,4,ZMH1,Soybean Meal Future
2019-10-11 00:00:00+00:00,35,1,156434,318.7,318.7,318.7,318.7,1,ZMN1,Soybean Meal Future
2019-10-11 00:00:00+00:00,35,1,504886,325.1,325.1,324.9,324.9,2,ZMF1,Soybean Meal Future
2019-10-14 00:00:00+00:00,35,1,89700,318.5,318.5,318.5,318.5,1,ZMK1,Soybean Meal Future
2019-10-14 00:00:00+00:00,35,1,535389,319.0,319.0,319.0,319.0,2,ZMU1,Soybean Meal Future
